Code,Airline
9T,"TravelspanGT, Inc. S.A."
9V,"Avior Airlines, C.A."
9W,Jet Airways (India) Limited
A0,Elysair d/b/a L'Avion
A4,Southern Wind Airlines
AA,American Airlines Inc.
AAT,Air Sunshine Inc.
AB,Air Berlin PLC and CO
ABX,ABX Air Inc
AC,Air Canada
AD,Azul Linhas Aereas Brazileiras S A
ADB,Antonov Company
AF,Compagnie Natl Air France
AI,National Aviation Company of India Limited d/b/a Air India
AJQ,Aerodynamics Inc.
AM,Aeromexico
AMQ,Ameristar Air Cargo
AQQ,Air Charter (Safa)
AR,Aerolineas Argentinas
AS,Alaska Airlines Inc.
AT,Royal Air Maroc
AV,Aerovias Nacl De Colombia
AVQ,Aero Laguna S.A. De C.V.
AX,Trans States Airlines
AY,Finnair Oy
AYQ,Aerodan S.A. De C.V.
AZ,Compagnia Aerea Italiana
B0,Dreamjet SAS Dba La Compagnie
B6,JetBlue Airways
BA,British Airways Plc
BAQ,Aero Rentas De Coahuila S.A. De C.V.
BC,Skymark Airlines Inc.
BCQ,Bradley Air Services Ltd.
BD,British Midland Airways Ltd.
BDQ,Aerotaxis De Aguascalientes S.A. De C.V.
BES,Aeroservices Executive
BG,Biman Bangladesh Airlines
BGQ,Airbus Transport Internat'l
BIQ,Servicios Aeronauticos Z S.A. De C.V.
BJQ,Taxirey S.A. De C.V.
BR,Eva Airways Corporation
BW,Caribbean Airlines Limited
BX,Air Busan
BY,Britannia Airways Ltd.
C5,"Commutair Aka Champlain Enterprises, Inc."
C6,Canjet Airlines
C8,Cargolux Italia SpA
CA,Air China
CAQ,Challenge Air Luftverkehrs GmbH
CAZ,CAT Aviation
CC,Air Atlanta Icelandic
CH,Bemidji Airlines
CI,China Airlines Ltd.
CK,China Cargo Airline
CM,Compania Panamena (Copa)
CP,Compass Airlines
CRV,Acropolis Aviation Ltd.
CSQ,Celtic Tech Jet Ltd.
CV,Cargolux Airlines International S.A
CX,Cathay Pacific Airways Ltd.
CYQ,Corse Air International
CZ,China Southern Airlines
D7,Air Asia X Berhad dba Airasia X
DE,Condor Flugdienst
DHQ,DHL Aero Expresso
DL,Delta Air Lines Inc.
DY,Norwegian Air Shuttle ASA
E7,Estafeta Carga Aereas
E72,European Aviation Air Charter
EAQ,"Executive Airlines, SL"
EE,Eastern Airlines Group Inc.
EI,Aer Lingus Plc
EK,Emirates
ELL,Ellis Air Taxi Inc.
EM,Empire Airlines Inc.
EQ,Tame Linea Aerea del Ecuador Tme EP
ET,Ethiopian Airlines
EV,ExpressJet Airlines Inc.
EY,Etihad Airways
F9,Frontier Airlines Inc.
FC,Fast Colombia SAS d/b/a Viva Colombia
FI,Icelandair
FJ,Air Pacific Ltd.
FP,TAG Aviation S.A.
FX,Federal Express Corporation
G3,VRG Linhas Aereas S A
G4,Allegiant Air
G7,GoJet Airlines LLC d/b/a United Express
GCH,Grand Canyon Helicopters
GFQ,Gulf And Caribbean Cargo
GL,Miami Air International
GSQ,Global Supply System
GV,Grant Aviation
GW,SkyGreece Airlines S A
H6,Hageland Aviation Service
HA,Hawaiian Airlines Inc.
HB,Homer Air
HBQ,Harris Air Services
HLQ,Heavylift Cargo Airlines Lt
HU,Hainan Airlines Company Limited
HX,Hong Kong Airlines Limited
HY,Uzbekistan Airways
I4,Scott Air LLC dba Island Air Express
IB,Iberia Air Lines Of Spain
IG,Meridiana S.p.A
IGA,"Global Jet Austria, GmbH"
J2,Azerbaijan Airlines CJSC
J5,Kalinin Aviation LLC d/b/a Alaska Seaplanes
JAG,JetAlliance Flugbetriebs d/b/a JAF Airservice
JB,Helijet International Inc.
JI,Jade Cargo International
JJ,Transportes Aeros Meridiona
JL,Japan Air Lines Co. Ltd.
JQ,Jetstar Airways Pty Limited
JR,Aero California
K3,Venture Travel LLC d/b/a Taquan Air Service
K5,"SeaPort Airlines, Inc. d/b/a Wings of Alaska"
K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines"
KA,Hong Kong Dragonair
KAH,Kenmore Air Harbor
KAQ,Kalitta Air LLC
KAT,Katmai Air
KD,Western Global
KE,Korean Air Lines Co. Ltd.
KH,Aloha Air Cargo
KL,Klm Royal Dutch Airlines
KLQ,Kalitta Charters II
KO,Alaska Central Express
KS,Peninsula Airways Inc.
KTQ,Turks Air Ltd.
KU,Kuwait Airways Corp.
KX,Cayman Airways Limited
KZ,Nippon Cargo Airlines
L2,Lynden Air Cargo Airlines
L7,Lan Colombia
LA,Lan-Chile Airlines
LC,Varig Logistica S/A
LDM,Lauda Motion GmbH
LH,Lufthansa German Airlines
LJ,Jin Air Co Ltd.
LO,Polskie Linie Lotnicze
LP,Lan Peru Airlines
LR,Lacsa
LS,Jet2.com
LX,Swiss International Airlines
LY,El Al Israel Airlines Ltd.
M3,ABSA-Aerolinhas Brasileiras
M6,Amerijet International
M7,Aerotransportes Mas De Crga
MA,Malev Hungarian Airlines
MH,Malaysian Airline System
MOQ,Morningstar Air Express
MP,Martinair Holland N.V.
MQ,Envoy Air
MS,Egyptair
MT,Thomas Cook Airlines Uk Ltd.
MU,China Eastern Airlines
MW,"Mokulele Flight Services, Inc."
MX,Compania Mexicana De Aviaci
N6,Aero Continente
N8,National Air Cargo Group Inc d/ba National Airlines
NC,Northern Air Cargo Inc.
NEW,New England Airlines Inc.
NH,All Nippon Airways Co.
NJE,"NetJets Transportes Aereos, S.A."
NK,Spirit Air Lines
NLQ,Nolinor Aviation
NQ,Air Japan Co
NWQ,N. W. Territorial Airways
NZ,Air New Zealand
O6,Oceanair Linhas Aereas S A
OF,Air Finland Ltd.
OH,PSA Airlines Inc.
OJ,Fly Jamaica Airways Limited
OK,Czech Airlines
OO,SkyWest Airlines Inc.
OR,TUI Airlines Nederland B.V.
OS,Austrian Airlines
OZ,Asiana Airlines Inc.
PBQ,Privatair
PD,"Porter Airlines, Inc."
PEQ,SkyLink Express Inc.
PFQ,Asia Pacific
PH,Polynesian Airlines Ltd.
PK,Pakistan International Airlines
PM,"Prescott Support Company, Inc."
PO,Polar Air Cargo Airways
POQ,Polyot Airlines
PP,Jet Aviation Business Jets AG
PPQ,Propair
PR,Philippine Airlines Inc.
PRQ,Florida West Airlines Inc.
PS,Ukraine International Airlines
PT,Piedmont Airlines
PY,Surinam Airways Limited
Q5,40-Mile Air
Q7,SkyBahamas Airlines Ltd.
QF,Qantas Airways Ltd.
QK,Jazz Aviation LP
QO,Aeromexpress
QR,Qatar Airways (Q.C.S.C)
QS,"Travel Service, a.s."
QT,Transportes Aereos Mercantiles Panamericanos S.A
QX,Horizon Air
R2,Orenburg Airlines
R3,Air Company Yakutia
RG,Varig S. A.
RJ,Alia-(The) Royal Jordanian
RO,Tarom Romanian Air Transpor
RS,Sky Regional Airlines Inc.
RU,AirBridgeCargo Airlines Limited
RV,Air Canada rouge LP
RVQ,"Reeve Air Alaska, LLC"
S3,"Santa Barbara Airlines, C.A"
S4,Sata Internacional
S5,Shuttle America Corp.
S6,Star Air A/S
SA,South African Airways
SE,XL Airways France
SEB,Seaborne Aviation
SI,Sierra Pacific Airlines
SK,Scandinavian Airlines Sys.
SN,Brussels Airlines N.V.
SNK,Spernak Airways Inc.
SQ,Singapore Airlines Ltd.
SS,Corsair International
SU,Aeroflot Russian Airlines
SV,Saudi Arabian Airlines Corp
SVW,"Global Jet Luxembourg, Sa"
SY,Sun Country Airlines d/b/a MN Airlines
TA,Taca International Airlines
TB,TUI Airlines Belgium N.V. d/b/a Jetairfly
TBQ,Triair Bermuda Flt Operations
TG,Thai Airways International Ltd.
TH,Transmile Air Service
TIQ,Tyrolean Jet Service
TK,Turk Hava Yollari A.O.
TN,Air Tahiti Nui
TP,Tap-Portuguese Airlines
TQQ,Taca Peru
TRA,Aeromexico Travel
TS,Air Transat
TZQ,First Choice Airways
U7,USA Jet Airlines Inc.
UA,United Air Lines Inc.
UP,Bahamasair Holding Limited
UX,Air Europa
V4,Vensecar International
V8,Iliamna Air Taxi
VA,Virgin Blue International Airlines t/a V Australia
VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus"
VH,Aeropostal Alas De Venezuel
VI,Vieques Air Link Inc.
VIQ,Volga-Dnepr Airlines
VJT,VistaJet Limited
VR,Transportes Aereos De Cabo
VS,Virgin Atlantic Airways
VSA,VistaJet Luftfahrtunternehmen GmbH
VV,Aerosvit Ukranian Airlines
VW,Transportes Aeromar S.A de C.V
VX,Virgin America
W3,Arik Air International
W8,Cargojet Airways Ltd.
WAP,Arrow Panama
WE,Centurion Cargo Inc.
WEQ,Aero-Services-Corporate
WG,Sunwing Airlines Inc.
WI,Tradewinds Airlines
WN,Southwest Airlines Co.
WP,Island Air Hawaii
WR,WestJet Encore Ltd.
WRD,Ward Air
WS,Westjet
WST,Friday Harbor Seaplanes
WW,WOW Air ehf
X4,Air Excursions LLC
X9,Omni Air Express
XL,Lan Ecuador
XP,XTRA Airways
Y2,Globespan Airways Limited d/b/a Flyglobespan
Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)
Y7,Flyjet Limited d/b/a Silverjet
Y8,Yangtze River Express Airlines Company
YR,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines"
YV,Mesa Airlines Inc.
YX,Republic Airlines
Z3,"PM Air, LLC"
ZB,Monarch Airlines
ZK,Great Lakes Airlines
ZW,Air Wisconsin Airlines Corp
ZX,Air Georgian
US,US Airways Inc.
